T,alpha,run,final_rating,initial_rating,improvement,convergence_iter,execution_time,history
100,0.95,20,1.1641239323406805,0.8641466112945455,0.29997732104613495,5600,60.02170157432556,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.864147     0.864147   0.000000
1           40   100.000000        0.947555     1.008520   0.350266
2           60   100.000000        0.903655     1.008520   0.583193
3          160   100.000000        0.853768     1.033127   1.195537
4          300   100.000000        0.915235     1.033127   1.616848
..         ...          ...             ...          ...        ...
147      10920    59.873694        0.819855     1.164124  58.271247
148      10980    59.873694        0.943401     1.164124  58.505661
149      11020    56.880009        0.861611     1.164124  58.591595
150      11060    56.880009        0.995732     1.164124  58.890004
151      11200    56.880009        0.902785     1.164124  59.741277

[152 rows x 5 columns]"
100,0.95,21,1.1809264194861144,1.0693308632426852,0.1115955562434292,1640,60.023727893829346,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        1.069331     1.069331   0.000000
1           60   100.000000        0.951439     1.069331   0.452805
2           80   100.000000        0.967871     1.069331   0.703539
3          120   100.000000        0.869979     1.069331   1.101911
4          220   100.000000        0.872197     1.069331   1.667433
..         ...          ...             ...          ...        ...
138       8740    66.342043        0.956366     1.180926  58.016432
139       8760    66.342043        0.932549     1.180926  58.236879
140       8900    66.342043        0.884035     1.180926  58.914624
141       8920    66.342043        0.916586     1.180926  58.992682
142       9020    63.024941        0.978560     1.180926  59.772711

[143 rows x 5 columns]"
100,0.95,22,1.1903950113014488,0.9025675999730316,0.28782741132841716,560,60.01810836791992,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.902568     0.902568   0.000000
1           20   100.000000        0.873568     0.961338   0.199403
2           60   100.000000        1.038003     1.038003   0.549429
3          100   100.000000        1.073099     1.092937   1.085127
4          120   100.000000        0.974317     1.125783   1.432503
..         ...          ...             ...          ...        ...
156       6140    73.509189        1.079330     1.190395  58.504653
157       6160    73.509189        1.031510     1.190395  58.789364
158       6180    73.509189        1.034580     1.190395  58.974651
159       6200    73.509189        0.951983     1.190395  59.323448
160       6240    73.509189        1.036610     1.190395  59.772936

[161 rows x 5 columns]"
100,0.95,23,1.1526320159433423,0.8801664168628434,0.27246559908049894,480,60.00548577308655,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.880166     0.880166   0.000000
1           80   100.000000        1.001281     1.008575   0.282917
2          100   100.000000        0.987185     1.062620   0.500417
3          140   100.000000        1.047188     1.062620   0.833140
4          200   100.000000        1.001223     1.062620   1.537081
..         ...          ...             ...          ...        ...
147       8000    69.833730        0.877811     1.152632  58.153656
148       8040    66.342043        0.952840     1.152632  58.370029
149       8080    66.342043        1.026606     1.152632  58.920460
150       8140    66.342043        1.032002     1.152632  59.771497
151       8160    66.342043        0.959552     1.152632  59.970236

[152 rows x 5 columns]"
100,0.95,24,1.0946530959115086,0.9032315908652866,0.19142150504622202,2800,60.02260184288025,"     iteration  temperature  current_rating  best_rating       time
0            0    100.00000        0.903232     0.903232   0.000000
1           60    100.00000        0.931550     0.936170   0.349344
2          200    100.00000        0.912957     0.954060   1.136708
3          220    100.00000        0.897767     0.954723   1.320588
4          300    100.00000        0.933760     0.954723   1.684592
..         ...          ...             ...          ...        ...
150       7640     69.83373        0.936794     1.094653  57.955137
151       7760     69.83373        0.951532     1.094653  58.805180
152       7800     69.83373        0.921636     1.094653  59.156413
153       7820     69.83373        0.881738     1.094653  59.360653
154       7840     69.83373        1.026472     1.094653  59.575151

[155 rows x 5 columns]"
100,0.95,25,1.0234199926634318,0.8690542016039902,0.1543657910594416,200,60.07128071784973,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.869054     0.869054   0.000000
1           60   100.000000        0.912405     0.977121   0.184745
2          200   100.000000        0.887425     1.023420   0.902082
3          360   100.000000        0.862299     1.023420   1.287102
4          380   100.000000        0.856685     1.023420   1.367727
..         ...          ...             ...          ...        ...
140      28360    23.782689        0.885757     1.023420  59.270432
141      28420    23.782689        0.886535     1.023420  59.539806
142      28440    23.782689        0.856176     1.023420  59.623227
143      28460    23.782689        0.838333     1.023420  59.739560
144      28500    23.782689        0.908387     1.023420  59.989663

[145 rows x 5 columns]"
100,0.95,26,1.083507646105871,0.8866470917910713,0.19686055431479976,5360,60.02007865905762,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.886647     0.886647   0.000000
1           60   100.000000        0.871232     0.894584   0.120980
2          120   100.000000        0.852420     0.894584   0.252502
3          200   100.000000        0.880587     1.014557   0.854074
4          220   100.000000        0.872286     1.014557   0.987054
..         ...          ...             ...          ...        ...
141      13040    51.334208        0.967416     1.083508  57.925406
142      13060    51.334208        0.965570     1.083508  58.108306
143      13360    51.334208        0.895683     1.083508  59.429416
144      13380    51.334208        0.891312     1.083508  59.607033
145      14260    48.767498        0.937545     1.083508  59.924558

[146 rows x 5 columns]"
100,0.95,27,1.1714428684596994,0.9796642884113143,0.1917785800483851,1280,60.031245946884155,"     iteration  temperature  current_rating  best_rating       time
0            0    100.00000        0.979664     0.979664   0.000000
1           20    100.00000        1.025253     1.117091   0.210933
2          220    100.00000        0.991346     1.117091   1.479683
3          240    100.00000        0.873801     1.117091   1.745497
4          280    100.00000        0.963276     1.117091   2.129611
..         ...          ...             ...          ...        ...
155       7680     69.83373        0.967228     1.171443  57.917499
156       7740     69.83373        0.888621     1.171443  58.401458
157       7800     69.83373        0.987261     1.171443  58.922742
158       7840     69.83373        1.000532     1.171443  59.315380
159       7860     69.83373        1.059091     1.171443  59.601068

[160 rows x 5 columns]"
100,0.95,28,1.145605129896875,0.8388449701395717,0.3067601597573033,5720,60.02580189704895,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.838845     0.838845   0.000000
1           20   100.000000        0.839801     0.839801   0.002821
2          100   100.000000        0.865055     0.952114   0.235790
3          120   100.000000        0.822379     0.952114   0.332190
4          240   100.000000        0.880877     0.952114   0.918077
..         ...          ...             ...          ...        ...
173       9660    63.024941        0.913501     1.145605  58.018908
174       9760    63.024941        0.880362     1.145605  58.623533
175       9860    63.024941        0.813057     1.145605  58.887448
176      10060    59.873694        0.855621     1.145605  59.457639
177      10080    59.873694        0.856369     1.145605  59.617906

[178 rows x 5 columns]"
100,0.95,29,1.3027073795327364,0.8077478382580352,0.4949595412747012,3460,60.02148652076721,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.807748     0.807748   0.000000
1           20   100.000000        0.897732     0.904697   0.160459
2          100   100.000000        0.997943     1.039721   0.710173
3          120   100.000000        1.007921     1.088929   0.947413
4          140   100.000000        0.875747     1.088929   1.188813
..         ...          ...             ...          ...        ...
153       8900    66.342043        0.891350     1.302707  58.549654
154       9020    63.024941        0.926684     1.302707  59.085948
155       9040    63.024941        0.996550     1.302707  59.217895
156       9080    63.024941        0.956686     1.302707  59.667217
157       9120    63.024941        1.016524     1.302707  59.916799

[158 rows x 5 columns]"
100,0.99,0,1.1522975859904268,0.78215462165842,0.3701429643320068,2160,60.02576446533203,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.782155     0.782155   0.000000
1          140   100.000000        0.822087     0.843971   0.151845
2          240   100.000000        0.906040     0.930702   0.611851
3          340   100.000000        0.940477     1.008517   1.627886
4          480   100.000000        0.878326     1.008517   2.074695
..         ...          ...             ...          ...        ...
139      13340    87.752102        0.900374     1.152298  58.066792
140      13440    87.752102        0.939286     1.152298  58.250484
141      13500    87.752102        0.869782     1.152298  58.552259
142      13560    87.752102        0.910581     1.152298  59.315338
143      13580    87.752102        0.954057     1.152298  59.550974

[144 rows x 5 columns]"
100,0.99,1,1.0847422157700877,0.9541485220157809,0.13059369375430674,2080,60.018335580825806,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.954149     0.954149   0.000000
1           20   100.000000        0.926660     1.012818   0.297714
2           80   100.000000        1.034985     1.034985   0.934463
3          100   100.000000        0.956363     1.034985   1.133261
4          120   100.000000        1.040095     1.040095   1.364557
..         ...          ...             ...          ...        ...
138       8060    92.274469        0.977028     1.084742  57.169695
139       8080    92.274469        0.954172     1.084742  57.360591
140       8100    92.274469        0.924708     1.084742  57.604836
141       8120    92.274469        0.950535     1.084742  57.919802
142       8220    92.274469        0.928534     1.084742  59.172643

[143 rows x 5 columns]"
100,0.99,2,1.1575840275632332,1.0260976556763957,0.13148637188683754,6900,60.02270221710205,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        1.026098     1.026098   0.000000
1           20   100.000000        1.028708     1.091328   0.249662
2          280   100.000000        0.895204     1.091328   1.185729
3          320   100.000000        0.846642     1.091328   1.300699
4          600   100.000000        1.005013     1.091328   2.218759
..         ...          ...             ...          ...        ...
143      11940    89.533825        0.950510     1.157584  56.686369
144      12020    88.638487        0.938338     1.157584  57.307424
145      12040    88.638487        0.981023     1.157584  57.606167
146      12060    88.638487        1.030826     1.157584  58.032191
147      12240    88.638487        0.966430     1.157584  59.157174

[148 rows x 5 columns]"
100,0.99,3,1.1912522992836538,0.9388835946776242,0.25236870460602967,2320,60.00325918197632,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.938884     0.938884   0.000000
1           20   100.000000        1.035009     1.035009   0.153515
2           60   100.000000        0.971382     1.035009   0.486991
3           80   100.000000        1.053658     1.087049   0.700908
4          120   100.000000        1.075458     1.087049   0.999921
..         ...          ...             ...          ...        ...
133       8360    92.274469        0.953987     1.191252  58.765370
134       8440    92.274469        0.991557     1.191252  58.966648
135       8500    92.274469        0.925821     1.191252  59.537303
136       8520    92.274469        0.981734     1.191252  59.686183
137       8540    92.274469        0.994923     1.191252  59.903027

[138 rows x 5 columns]"
100,0.99,4,1.2818065797687086,1.044497234469227,0.23730934529948167,5760,60.00912666320801,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        1.044497     1.044497   0.000000
1          100   100.000000        0.996901     1.110674   0.899445
2          140   100.000000        0.982436     1.110674   1.364113
3          200   100.000000        0.934772     1.110674   2.014460
4          240   100.000000        1.114340     1.114340   2.458292
..         ...          ...             ...          ...        ...
151       6880    94.148015        1.013240     1.281807  57.638529
152       6920    94.148015        0.915084     1.281807  58.090396
153       7060    93.206535        0.947916     1.281807  58.872398
154       7240    93.206535        1.010314     1.281807  59.488050
155       7260    93.206535        0.983277     1.281807  59.803310

[156 rows x 5 columns]"
100,0.99,5,1.072879898410696,0.925588429732924,0.147291468677772,3960,60.01824593544006,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.925588     0.925588   0.000000
1           20   100.000000        0.897434     0.925588   0.132058
2          120   100.000000        0.880123     0.936325   0.636391
3          180   100.000000        0.927142     0.938494   0.915672
4          200   100.000000        0.924093     0.955815   1.032242
..         ...          ...             ...          ...        ...
160       9180    91.351725        0.911576     1.072880  58.569785
161       9220    91.351725        0.945367     1.072880  58.872341
162       9260    91.351725        0.851845     1.072880  59.037251
163       9320    91.351725        0.843962     1.072880  59.305522
164       9340    91.351725        0.880461     1.072880  59.404370

[165 rows x 5 columns]"
100,0.99,6,1.1965617574905272,1.0462807603453284,0.15028099714519882,7380,60.022433042526245,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        1.046281     1.046281   0.000000
1           80   100.000000        1.055396     1.063478   0.414468
2          120   100.000000        0.987479     1.075727   0.751658
3          160   100.000000        0.932534     1.075727   1.230523
4          300   100.000000        0.971987     1.075727   2.064117
..         ...          ...             ...          ...        ...
148       7260    93.206535        1.020073     1.172488  56.903243
149       7380    93.206535        1.059371     1.196562  58.502915
150       7400    93.206535        0.969794     1.196562  58.702971
151       7440    93.206535        0.980031     1.196562  59.288862
152       7480    93.206535        1.002938     1.196562  59.802794

[153 rows x 5 columns]"
100,0.99,7,1.152585518814607,0.9677495795943074,0.18483593922029962,520,60.03289771080017,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.967750     0.967750   0.000000
1           20   100.000000        0.938423     1.077909   0.271784
2          120   100.000000        0.853671     1.077909   0.640253
3          240   100.000000        1.002469     1.077909   1.404717
4          260   100.000000        1.036408     1.081673   1.604554
..         ...          ...             ...          ...        ...
155       9600    91.351725        0.923917     1.152586  58.509816
156       9840    91.351725        1.081684     1.152586  59.490432
157       9860    91.351725        0.964038     1.152586  59.618008
158       9880    91.351725        0.936510     1.152586  59.742207
159       9920    91.351725        0.860294     1.152586  59.926172

[160 rows x 5 columns]"
100,0.99,8,1.2848964194389745,0.9738831237630645,0.31101329567590996,9220,60.004416942596436,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.973883     0.973883   0.000000
1           40   100.000000        1.010344     1.052791   0.299717
2           80   100.000000        1.030531     1.052791   0.700027
3          120   100.000000        0.998191     1.054903   1.133056
4          160   100.000000        0.938624     1.077515   1.681713
..         ...          ...             ...          ...        ...
143       9180    91.351725        0.971900     1.242958  57.837477
144       9220    91.351725        1.058381     1.284896  58.255699
145       9280    91.351725        0.879594     1.284896  58.637081
146       9340    91.351725        0.996712     1.284896  59.074057
147       9360    91.351725        0.972627     1.284896  59.193763

[148 rows x 5 columns]"
